node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 -0.0780 0.0615 -2.9946 0.0458 0.0995 0.4314 0.3922 0.1961 0.0434 1.0000 
1 2 0 -0.0780 0.0615 -2.9946 -0.5325 0.2650 -3.0402 0.0458 0.5000 0.4314 0.3922 0.1961 0.2621 1.0000 
2 3 0 -0.5325 0.2650 -3.0402 -0.6574 0.3176 -3.0569 0.0458 0.1366 0.4314 0.3922 0.1961 0.3220 1.0000 
3 4 0 -0.6574 0.3176 -3.0569 -1.1309 0.4726 -3.0988 0.0458 0.5000 0.4314 0.3922 0.1961 0.5422 1.0000 
4 5 0 -1.1309 0.4726 -3.0988 -1.2572 0.5157 -3.1215 0.0458 0.1354 0.4314 0.3922 0.1961 0.6021 1.0000 
5 6 0 -1.2572 0.5157 -3.1215 -1.7229 0.6569 -3.2365 0.0458 0.5000 0.4314 0.3922 0.1961 0.8239 1.0000 
6 7 0 -1.7229 0.6569 -3.2365 -1.8382 0.6980 -3.2764 0.0458 0.1287 0.4314 0.3922 0.1961 0.8812 1.0000 
7 8 0 -1.8382 0.6980 -3.2764 -2.2629 0.8966 -3.4499 0.0458 0.5000 0.4314 0.3922 0.1961 1.1047 1.0000 
8 9 0 -2.2629 0.8966 -3.4499 -2.4625 1.0156 -3.5722 0.0458 0.2626 0.4314 0.3922 0.1961 1.2225 1.0000 
9 10 0 -2.4625 1.0156 -3.5722 -2.8137 1.2630 -3.8280 0.0458 0.5000 0.4314 0.3922 0.1961 1.4479 1.0000 
10 11 0 -2.8137 1.2630 -3.8280 -2.9089 1.3444 -3.9055 0.0458 0.1472 0.4314 0.3922 0.1961 1.5145 1.0000 
11 12 0 -2.9089 1.3444 -3.9055 -3.2309 1.6241 -4.1664 0.0458 0.5000 0.4314 0.3922 0.1961 1.7416 1.0000 
12 13 0 -3.2309 1.6241 -4.1664 -3.2528 1.6434 -4.1847 0.0458 0.0345 0.4314 0.3922 0.1961 1.7573 1.0000 
13 14 0 -3.2528 1.6434 -4.1847 -3.5873 1.9206 -4.4322 0.0458 0.5000 0.4314 0.3922 0.1961 1.9858 1.0000 
14 15 0 -3.5873 1.9206 -4.4322 -3.6543 1.9787 -4.4821 0.0458 0.1017 0.4314 0.3922 0.1961 2.0324 1.0000 
15 16 0 -3.6543 1.9787 -4.4821 -4.0010 2.2337 -4.7366 0.0458 0.5000 0.4314 0.3922 0.1961 2.2625 1.0000 
16 17 0 -4.0010 2.2337 -4.7366 -4.0603 2.2823 -4.7844 0.0458 0.0903 0.4314 0.3922 0.1961 2.3043 1.0000 
17 18 0 -4.0603 2.2823 -4.7844 -4.3953 2.5494 -5.0420 0.0458 0.5000 0.4314 0.3922 0.1961 2.5360 1.0000 
18 19 0 -4.3953 2.5494 -5.0420 -4.4636 2.6052 -5.0949 0.0458 0.1028 0.4314 0.3922 0.1961 2.5838 1.0000 
19 20 0 -4.4636 2.6052 -5.0949 -4.6019 2.9977 -5.3721 0.0458 0.5000 0.4314 0.3922 0.1961 2.8172 1.0000 
20 21 0 -4.6019 2.9977 -5.3721 -4.6483 3.1265 -5.4463 0.0458 0.1558 0.4314 0.3922 0.1961 2.8902 1.0000 
21 22 0 -4.6483 3.1265 -5.4463 -4.7959 3.5379 -5.6891 0.0458 0.5000 0.4314 0.3922 0.1961 3.1254 1.0000 
22 23 0 -4.7959 3.5379 -5.6891 -4.8354 3.6942 -5.7775 0.0458 0.1839 0.4314 0.3922 0.1961 3.2122 1.0000 
23 24 0 -4.8354 3.6942 -5.7775 -4.9235 4.0997 -6.0564 0.0458 0.5000 0.4314 0.3922 0.1961 3.4494 1.0000 
24 25 0 -4.9235 4.0997 -6.0564 -4.9343 4.1467 -6.0871 0.0458 0.0571 0.4314 0.3922 0.1961 3.4766 1.0000 
25 26 0 -4.9343 4.1467 -6.0871 -5.0285 4.5580 -6.3555 0.0458 0.5000 0.4314 0.3922 0.1961 3.7154 1.0000 
26 27 0 -5.0285 4.5580 -6.3555 -5.0385 4.6030 -6.3825 0.0458 0.0535 0.4314 0.3922 0.1961 3.7410 1.0000 
27 28 0 -5.0385 4.6030 -6.3825 -5.0789 5.0092 -6.6713 0.0458 0.5000 0.4314 0.3922 0.1961 3.9814 1.0000 
28 29 0 -5.0789 5.0092 -6.6713 -5.0888 5.1143 -6.7497 0.0458 0.1315 0.4314 0.3922 0.1961 4.0449 1.0000 
29 30 0 -5.0888 5.1143 -6.7497 -5.0851 5.4841 -7.0862 0.0458 0.5000 0.4314 0.3922 0.1961 4.2871 1.0000 
30 31 0 -5.0851 5.4841 -7.0862 -5.0850 5.5640 -7.1798 0.0458 0.1231 0.4314 0.3922 0.1961 4.3470 1.0000 
31 32 0 -5.0850 5.5640 -7.1798 -5.0822 5.8688 -7.5761 0.0458 0.5000 0.4314 0.3922 0.1961 4.5912 1.0000 
32 33 0 -5.0822 5.8688 -7.5761 -5.0751 5.9492 -7.6661 0.0458 0.1208 0.4314 0.3922 0.1961 4.6504 1.0000 
33 34 0 -5.0751 5.9492 -7.6661 -5.0406 6.2744 -8.0287 0.0458 0.4883 0.4314 0.3922 0.1961 4.8907 1.0000 
34 35 0 -5.0406 6.2744 -8.0287 -5.0126 6.5459 -8.4477 0.0458 0.5000 0.4314 0.3922 0.1961 5.1383 1.0000 
35 36 0 -5.0126 6.5459 -8.4477 -5.0180 6.6147 -8.5828 0.0458 0.1517 0.4314 0.3922 0.1961 5.2137 1.0000 
36 37 0 -5.0180 6.6147 -8.5828 -5.0729 6.8183 -9.0361 0.0458 0.5000 0.4314 0.3922 0.1961 5.4634 1.0000 
37 38 0 -5.0729 6.8183 -9.0361 -5.0806 6.8453 -9.0971 0.0458 0.0671 0.4314 0.3922 0.1961 5.4970 1.0000 
38 39 0 -5.0806 6.8453 -9.0971 -5.1241 7.0076 -9.5680 0.0458 0.5000 0.4314 0.3922 0.1961 5.7485 1.0000 
39 40 0 -5.1241 7.0076 -9.5680 -5.1307 7.0459 -9.6942 0.0458 0.1320 0.4314 0.3922 0.1961 5.8151 1.0000 
40 41 0 -5.1307 7.0459 -9.6942 -5.1741 7.1897 -10.1711 0.0458 0.5000 0.4314 0.3922 0.1961 6.0687 1.0000 
41 42 0 -5.1741 7.1897 -10.1711 -5.1858 7.2151 -10.2688 0.0458 0.1016 0.4314 0.3922 0.1961 6.1204 1.0000 
42 43 0 -5.1858 7.2151 -10.2688 -5.2357 7.2925 -10.7566 0.0458 0.4965 0.4314 0.3922 0.1961 6.3741 1.0000 
43 44 0 -5.2357 7.2925 -10.7566 -5.2999 7.3203 -11.2517 0.0458 0.5000 0.4314 0.3922 0.1961 6.6312 1.0000 
44 45 0 -5.2999 7.3203 -11.2517 -5.3170 7.3238 -11.4034 0.0458 0.1527 0.4314 0.3922 0.1961 6.7101 1.0000 
45 46 0 -5.3170 7.3238 -11.4034 -5.3618 7.2526 -11.8963 0.0458 0.5000 0.4314 0.3922 0.1961 6.9695 1.0000 
46 47 0 -5.3618 7.2526 -11.8963 -5.3740 7.2378 -12.0090 0.0458 0.1144 0.4314 0.3922 0.1961 7.0291 1.0000 
47 48 0 -5.3740 7.2378 -12.0090 -5.3979 7.1641 -12.5030 0.0458 0.5000 0.4314 0.3922 0.1961 7.2906 1.0000 
48 49 0 -5.3979 7.1641 -12.5030 -5.3991 7.1569 -12.5567 0.0458 0.0542 0.4314 0.3922 0.1961 7.3190 1.0000 
49 50 0 -5.3991 7.1569 -12.5567 -5.4044 7.0825 -13.0511 0.0458 0.5000 0.4314 0.3922 0.1961 7.5825 1.0000 
50 51 0 -5.4044 7.0825 -13.0511 -5.4044 7.0733 -13.1126 0.0458 0.0622 0.4314 0.3922 0.1961 7.6154 1.0000 
51 52 0 -5.4044 7.0733 -13.1126 -5.4126 7.0346 -13.6110 0.0458 0.5000 0.4314 0.3922 0.1961 7.8809 1.0000 
52 53 0 -5.4126 7.0346 -13.6110 -5.4134 7.0301 -13.6689 0.0458 0.0580 0.4314 0.3922 0.1961 7.9118 1.0000 
53 54 0 -5.4134 7.0301 -13.6689 -5.4156 7.0033 -14.1682 0.0458 0.5000 0.4314 0.3922 0.1961 8.1793 1.0000 
54 55 0 -5.4156 7.0033 -14.1682 -5.4165 7.0011 -14.2108 0.0458 0.0427 0.4314 0.3922 0.1961 8.2023 1.0000 
55 56 0 -5.4165 7.0011 -14.2108 -5.4348 6.9654 -14.7092 0.0458 0.5000 0.4314 0.3922 0.1961 8.4718 1.0000 
56 57 0 -5.4348 6.9654 -14.7092 -5.4407 6.9555 -14.8864 0.0458 0.1776 0.4314 0.3922 0.1961 8.5680 1.0000 
