node1ID,node2ID,branchID,x1,y1,z1,x2,y2,z2,radius,length,R,G,B,time,type,vitesse_primaire,vitesse_secondaire,simulation_id
0,1,0,0,0,-3,-0.0323,0.0753,-3.0205,0.0402,0.0844,0.4314,0.3922,0.1961,0.0388,1,4,0.6,2
1,2,0,-0.0323,0.0753,-3.0205,-0.2766,0.4967,-3.1332,0.0402,0.5,0.4314,0.3922,0.1961,0.2695,1,4,0.6,2
2,3,0,-0.2766,0.4967,-3.1332,-0.3187,0.5712,-3.1531,0.0402,0.0879,0.4314,0.3922,0.1961,0.3102,1,4,0.6,2
3,4,0,-0.3187,0.5712,-3.1531,-0.5522,0.9835,-3.3129,0.0402,0.5,0.4314,0.3922,0.1961,0.5423,1,4,0.6,2
4,5,0,-0.5522,0.9835,-3.3129,-0.6016,1.066,-3.3528,0.0402,0.1041,0.4314,0.3922,0.1961,0.5908,1,4,0.6,2
5,6,0,-0.6016,1.066,-3.3528,-0.8445,1.4512,-3.5592,0.0402,0.5,0.4314,0.3922,0.1961,0.8245,1,4,0.6,2
6,7,0,-0.8445,1.4512,-3.5592,-0.9314,1.5616,-3.6181,0.0402,0.1523,0.4314,0.3922,0.1961,0.8959,1,4,0.6,2
7,8,0,-0.9314,1.5616,-3.6181,-1.2195,1.92,-3.8145,0.0402,0.5,0.4314,0.3922,0.1961,1.1312,1,4,0.6,2
8,9,0,-1.2195,1.92,-3.8145,-1.2961,2.0374,-3.8635,0.0402,0.1485,0.4314,0.3922,0.1961,1.2013,1,4,0.6,2
9,10,0,-1.2961,2.0374,-3.8635,-1.5548,2.4326,-4.0274,0.0402,0.5,0.4314,0.3922,0.1961,1.4383,1,4,0.6,2
10,11,0,-1.5548,2.4326,-4.0274,-1.6446,2.5625,-4.0826,0.0402,0.1673,0.4314,0.3922,0.1961,1.5179,1,4,0.6,2
11,12,0,-1.6446,2.5625,-4.0826,-1.8535,2.9495,-4.3205,0.0402,0.5,0.4314,0.3922,0.1961,1.7566,1,4,0.6,2
12,13,0,-1.8535,2.9495,-4.3205,-1.8872,3.0165,-4.3584,0.0402,0.084,0.4314,0.3922,0.1961,1.7968,1,4,0.6,2
13,14,0,-1.8872,3.0165,-4.3584,-2.0797,3.4025,-4.6114,0.0402,0.5,0.4314,0.3922,0.1961,2.0371,1,4,0.6,2
